text
"質問：MyWhipserとの違いは？答え：MyWhisperとSecureMemoの最も大きな違いは、AI話者特定機能になるかと思います。whisperとは異なる独自のAIモデルを搭載しています。
"
質問：SecureMemoは他ソフトと比べて何が良いの？答え：SecureMemoの音声認識の精度は日本で一番の水準でして、他のどの会社様のソフトよりも良い精度になっています。それもあって警察様などに導入いただいています
質問：Whisperを搭載していてオンプレでセキュアに使えるのは御社だけ？答え：SecureMemoのみ
質問：中国語はどうか？答え：中国当局の規制により教師データが少なく、日本語ほどの精度ではない。英語や日本語、スペイン語の精度が高い
